class,cap-shape,cap-color,bruises?,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,habitat
p,x,n,t,c,n,k,e,e,w,w,p,w,o,p,k,u
e,x,y,t,c,b,k,e,c,w,w,p,w,o,p,n,g
e,b,w,t,c,b,n,e,c,w,w,p,w,o,p,n,m
p,x,w,t,c,n,n,e,e,w,w,p,w,o,p,k,u
e,x,g,f,w,b,k,t,e,w,w,p,w,o,e,n,g
e,x,y,t,c,b,n,e,c,w,w,p,w,o,p,k,g
e,b,w,t,c,b,g,e,c,w,w,p,w,o,p,k,m
e,b,w,t,c,b,n,e,c,w,w,p,w,o,p,n,m
p,x,w,t,c,n,p,e,e,w,w,p,w,o,p,k,g
e,b,y,t,c,b,g,e,c,w,w,p,w,o,p,k,m
e,x,y,t,c,b,g,e,c,w,w,p,w,o,p,n,g
e,x,y,t,c,b,n,e,c,w,w,p,w,o,p,k,m
e,b,y,t,c,b,w,e,c,w,w,p,w,o,p,n,g
p,x,w,t,c,n,k,e,e,w,w,p,w,o,p,n,u
e,x,n,f,w,b,n,t,e,w,w,p,w,o,e,k,g
e,s,g,f,c,n,k,e,e,w,w,p,w,o,p,n,u
e,f,w,f,w,b,k,t,e,w,w,p,w,o,e,n,g
p,x,n,t,c,n,n,e,e,w,w,p,w,o,p,k,g
p,x,w,t,c,n,n,e,e,w,w,p,w,o,p,n,u
p,x,n,t,c,n,k,e,e,w,w,p,w,o,p,n,u
e,b,y,t,c,b,k,e,c,w,w,p,w,o,p,n,m
p,x,n,t,c,n,n,e,e,w,w,p,w,o,p,n,g
e,b,y,t,c,b,k,e,c,w,w,p,w,o,p,n,m
e,b,w,t,c,b,w,e,c,w,w,p,w,o,p,n,m
e,b,w,t,c,b,g,e,c,w,w,p,w,o,p,k,m
p,f,w,t,c,n,n,e,e,w,w,p,w,o,p,n,g
e,x,y,t,c,b,n,e,c,w,w,p,w,o,p,n,m
e,x,w,t,c,b,w,e,c,w,w,p,w,o,p,n,m
e,f,n,f,c,n,k,e,e,w,w,p,w,o,p,k,u
e,x,y,t,w,n,n,t,b,w,w,p,w,o,p,n,d
e,b,y,t,c,b,g,e,c,w,w,p,w,o,p,n,m
p,x,w,t,c,n,k,e,e,w,w,p,w,o,p,n,u
e,x,y,t,c,b,n,e,c,w,w,p,w,o,p,n,m
e,x,n,t,c,b,p,e,r,w,w,p,w,o,p,n,p
e,b,y,t,c,b,n,e,c,w,w,p,w,o,p,n,m
e,x,y,t,w,n,w,t,b,w,w,p,w,o,p,n,d
e,s,g,f,c,n,k,e,e,w,w,p,w,o,p,k,u
p,x,n,t,c,n,w,e,e,w,w,p,w,o,p,n,u
e,x,y,t,w,n,p,t,b,w,w,p,w,o,p,n,d
e,b,y,t,c,b,k,e,c,w,w,p,w,o,p,k,m
e,b,y,t,c,b,n,e,c,w,w,p,w,o,p,n,g
e,x,y,t,c,b,n,e,r,w,w,p,w,o,p,k,p
e,x,n,f,c,n,g,e,e,w,w,p,w,o,p,k,u
p,x,w,t,c,n,p,e,e,w,w,p,w,o,p,n,g
e,x,y,t,c,b,w,e,c,w,w,p,w,o,p,k,m
e,x,w,t,c,b,n,e,c,w,w,p,w,o,p,n,g
e,x,y,t,c,b,k,e,c,w,w,p,w,o,p,k,m
e,x,w,t,c,b,w,e,c,w,w,p,w,o,p,n,m
e,x,y,t,c,b,n,e,r,w,w,p,w,o,p,n,p
e,f,y,t,c,b,w,e,r,w,w,p,w,o,p,k,p
e,x,n,t,c,b,w,e,r,w,w,p,w,o,p,k,g
