class,cap-color,bruises?,gill-spacing,gill-color,stalk-shape,stalk-color-above-ring,stalk-color-below-ring,veil-color,ring-number,spore-print-color,habitat
p,n,t,c,k,e,w,w,w,o,k,u
e,y,t,c,k,e,w,w,w,o,n,g
e,w,t,c,n,e,w,w,w,o,n,m
p,w,t,c,n,e,w,w,w,o,k,u
e,g,f,w,k,t,w,w,w,o,n,g
e,y,t,c,n,e,w,w,w,o,k,g
e,w,t,c,g,e,w,w,w,o,k,m
e,w,t,c,n,e,w,w,w,o,n,m
p,w,t,c,p,e,w,w,w,o,k,g
e,y,t,c,g,e,w,w,w,o,k,m
e,y,t,c,g,e,w,w,w,o,n,g
e,y,t,c,n,e,w,w,w,o,k,m
e,y,t,c,w,e,w,w,w,o,n,g
p,w,t,c,k,e,w,w,w,o,n,u
e,n,f,w,n,t,w,w,w,o,k,g
e,g,f,c,k,e,w,w,w,o,n,u
e,w,f,w,k,t,w,w,w,o,n,g
p,n,t,c,n,e,w,w,w,o,k,g
p,w,t,c,n,e,w,w,w,o,n,u
p,n,t,c,k,e,w,w,w,o,n,u
e,y,t,c,k,e,w,w,w,o,n,m
p,n,t,c,n,e,w,w,w,o,n,g
e,y,t,c,k,e,w,w,w,o,n,m
e,w,t,c,w,e,w,w,w,o,n,m
e,w,t,c,g,e,w,w,w,o,k,m
p,w,t,c,n,e,w,w,w,o,n,g
e,y,t,c,n,e,w,w,w,o,n,m
e,w,t,c,w,e,w,w,w,o,n,m
e,n,f,c,k,e,w,w,w,o,k,u
e,y,t,w,n,t,w,w,w,o,n,d
e,y,t,c,g,e,w,w,w,o,n,m
p,w,t,c,k,e,w,w,w,o,n,u
e,y,t,c,n,e,w,w,w,o,n,m
e,n,t,c,p,e,w,w,w,o,n,p
e,y,t,c,n,e,w,w,w,o,n,m
e,y,t,w,w,t,w,w,w,o,n,d
e,g,f,c,k,e,w,w,w,o,k,u
p,n,t,c,w,e,w,w,w,o,n,u
e,y,t,w,p,t,w,w,w,o,n,d
e,y,t,c,k,e,w,w,w,o,k,m
e,y,t,c,n,e,w,w,w,o,n,g
e,y,t,c,n,e,w,w,w,o,k,p
e,n,f,c,g,e,w,w,w,o,k,u
p,w,t,c,p,e,w,w,w,o,n,g
e,y,t,c,w,e,w,w,w,o,k,m
e,w,t,c,n,e,w,w,w,o,n,g
e,y,t,c,k,e,w,w,w,o,k,m
e,w,t,c,w,e,w,w,w,o,n,m
e,y,t,c,n,e,w,w,w,o,n,p
e,y,t,c,w,e,w,w,w,o,k,p
e,n,t,c,w,e,w,w,w,o,k,g
e,w,t,c,k,e,w,w,w,o,k,g
e,w,t,c,k,e,w,w,w,o,n,m
p,n,t,c,k,e,w,w,w,o,n,u
p,w,t,c,k,e,w,w,w,o,k,u
e,y,t,c,w,e,w,w,w,o,k,m
e,g,f,w,n,t,w,w,w,o,n,g
e,w,t,c,w,e,w,w,w,o,n,g
e,y,t,c,k,e,w,w,w,o,k,g
e,n,t,c,p,e,w,w,w,o,k,p
e,g,f,c,k,e,w,w,w,o,n,u
e,y,t,c,k,e,w,w,w,o,n,m
e,y,t,c,g,e,w,w,w,o,n,m
e,y,t,c,g,e,w,w,w,o,n,m
e,w,t,c,n,e,w,w,w,o,n,g
e,n,f,w,k,t,w,w,w,o,k,g
e,w,t,c,n,e,w,w,w,o,k,g
e,y,t,c,w,e,w,w,w,o,n,g
